"","NOC691","V1","V2","V3","V4"
"444","9235 Pulping, papermaking and coating control operators",2910,0,0,0
"445","9241 Power engineers and power systems operators",30745,0,0,0
"446","9243 Water and waste treatment plant operators",13030,0,0,0
"447","9411 Machine operators, mineral and metal processing",10385,0,0,0
"448","9412 Foundry workers",3980,0,0,0
"449","9413 Glass forming and finishing machine operators and glass cutters",3485,0,0,0
"450","9414 Concrete, clay and stone forming operators",6200,0,0,0
"451","9415 Inspectors and testers, mineral and metal processing",2790,0,0,0
"452","9416 Metalworking and forging machine operators",15745,0,0,0
"453","9417 Machining tool operators",11310,0,0,0
"454","9418 Other metal products machine operators",7780,0,0,0
"455","9421 Chemical plant machine operators",10220,0,0,0
"456","9422 Plastics processing machine operators",18050,0,0,0
"457","9423 Rubber processing machine operators and related workers",8025,0,0,0
"458","9431 Sawmill machine operators",8895,0,0,0
"459","9432 Pulp mill machine operators",2415,0,0,0
"460","9433 Papermaking and finishing machine operators",3380,0,0,0
"461","9434 Other wood processing machine operators",5565,0,0,0
"462","9435 Paper converting machine operators",5150,0,0,0
"463","9436 Lumber graders and other wood processing inspectors and graders",3355,0,0,0
"464","9437 Woodworking machine operators",7245,0,0,0
"465","9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",4045,0,0,0
"466","9442 Weavers, knitters and other fabric making occupations",3625,0,0,0
"467","9445 Fabric, fur and leather cutters",1835,0,0,0
"468","9446 Industrial sewing machine operators",17525,0,0,0
"469","9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",2230,0,0,0
"470","9461 Process control and machine operators, food and beverage processing",35285,0,0,0
"471","9462 Industrial butchers and meat cutters, poultry preparers and related workers",14980,0,0,0
"472","9463 Fish and seafood plant workers",7580,0,0,0
"473","9465 Testers and graders, food and beverage processing",5225,0,0,0
"474","9471 Plateless printing equipment operators",7550,0,0,0
"475","9472 Camera, platemaking and other prepress occupations",2795,0,0,0
"476","9473 Binding and finishing machine operators",5140,0,0,0
"477","9474 Photographic and film processors",2525,0,0,0
"478","9521 Aircraft assemblers and aircraft assembly inspectors",7020,0,0,0
"479","9522 Motor vehicle assemblers, inspectors and testers",67620,0,0,0
"480","9523 Electronics assemblers, fabricators, inspectors and testers",15795,0,0,0
"481","9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",8535,0,0,0
"482","9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",2220,0,0,0
"483","9526 Mechanical assemblers and inspectors",11615,0,0,0
"484","9527 Machine operators and inspectors, electrical apparatus manufacturing",2000,0,0,0
"485","9531 Boat assemblers and inspectors",1580,0,0,0
"486","9532 Furniture and fixture assemblers and inspectors",11865,0,0,0
"487","9533 Other wood products assemblers and inspectors",9320,0,0,0
"488","9534 Furniture finishers and refinishers",6695,0,0,0
"489","9535 Plastic products assemblers, finishers and inspectors",11820,0,0,0
"490","9536 Industrial painters, coaters and metal finishing process operators",17555,0,0,0
"491","9537 Other products assemblers, finishers and inspectors",24260,0,0,0
"492","9611 Labourers in mineral and metal processing",9920,0,0,0
"493","9612 Labourers in metal fabrication",15490,0,0,0
"494","9613 Labourers in chemical products processing and utilities",9785,0,0,0
"495","9614 Labourers in wood, pulp and paper processing",24130,0,0,0
